,T,lambda,gamma,strategy
629,10,0.25,11,60
630,10,0.25,11,40
631,10,0.25,11,70
632,10,0.25,11,60
633,10,0.25,11,80
634,10,0.25,11,70
635,10,0.25,11,50
636,10,0.25,11,60
637,10,0.25,11,70
638,10,0.25,11,80
639,10,0.25,11,80
640,10,0.25,11,80
641,10,0.25,11,70
642,10,0.25,11,50
643,10,0.25,11,60
644,10,0.25,11,80
645,10,0.25,11,80
646,10,0.25,11,70
647,10,0.25,11,70
648,10,0.25,11,70
649,10,0.25,11,70
650,10,0.25,11,70
651,10,0.25,11,70
652,10,0.25,11,80
653,10,0.25,11,70
654,10,0.25,11,70
655,10,0.25,11,60
656,10,0.25,11,80
657,10,0.25,11,70
658,10,0.25,11,80
659,10,0.25,11,60
660,10,0.25,11,80
661,10,0.25,11,70
662,10,0.25,11,60
663,10,0.25,11,70
664,10,0.25,11,70
665,10,0.25,11,70
666,10,0.25,11,80
667,10,0.25,11,60
668,10,0.25,11,80
669,10,0.25,11,70
670,10,0.25,11,70
671,10,0.25,11,70
672,10,0.25,11,80
673,10,0.25,11,80
674,10,0.25,11,60
675,10,0.25,11,70
676,10,0.25,11,80
677,10,0.25,11,70
678,10,0.25,11,50
679,10,0.25,11,80
680,10,0.25,11,80
681,10,0.25,11,70
682,10,0.25,11,40
683,10,0.25,11,80
684,10,0.25,11,80
685,10,0.25,11,70
686,10,0.25,11,40
687,10,0.25,11,70
688,10,0.25,11,50
689,10,0.25,11,70
690,10,0.25,11,60
691,10,0.25,11,60
692,10,0.25,11,60
693,10,0.25,11,60
694,10,0.25,11,80
695,10,0.25,11,70
696,10,0.25,11,70
697,10,0.25,11,60
698,10,0.25,11,80
699,10,0.25,11,80
700,10,0.25,11,60
701,10,0.25,11,80
702,10,0.25,11,70
703,10,0.25,11,80
704,10,0.25,11,60
705,10,0.25,11,70
706,10,0.25,11,70
707,10,0.25,11,70
708,10,0.25,11,70
709,10,0.25,11,80
710,10,0.25,11,80
711,10,0.25,11,70
712,10,0.25,11,50
713,10,0.25,11,80
714,10,0.25,11,80
715,10,0.25,11,70
716,10,0.25,11,80
717,10,0.25,11,60
718,10,0.25,11,70
719,10,0.25,11,70
720,10,0.25,11,80
721,10,0.25,11,80
722,10,0.25,11,60
723,10,0.25,11,80
724,10,0.25,11,60
725,10,0.25,11,80
726,10,0.25,11,70
727,10,0.25,11,80
728,10,0.25,11,80
729,10,0.25,11,80
730,10,0.25,11,60
731,10,0.25,11,60
732,10,0.25,11,80
733,10,0.25,11,70
734,10,0.25,11,70
735,10,0.25,11,50
736,10,0.25,11,50
737,10,0.25,11,50
738,10,0.25,11,60
739,10,0.25,11,80
740,10,0.25,11,70
741,10,0.25,11,70
742,10,0.25,11,30
743,10,0.25,11,70
744,10,0.25,11,70
745,10,0.25,11,50
746,10,0.25,11,80
747,10,0.25,11,80
748,10,0.25,11,70
749,10,0.25,11,80
750,10,0.25,11,40
751,10,0.25,11,80
752,10,0.25,11,70
753,10,0.25,11,60
754,10,0.25,11,80
755,10,0.25,11,70
756,10,0.25,11,70
757,10,0.25,11,80
758,10,0.25,11,80
759,10,0.25,11,80
760,10,0.25,11,70
761,10,0.25,11,50
762,10,0.25,11,70
763,10,0.25,11,60
764,10,0.25,11,80
765,10,0.25,11,60
766,10,0.25,11,80
767,10,0.25,11,50
768,10,0.25,11,70
769,10,0.25,11,60
770,10,0.25,11,80
771,10,0.25,11,80
772,10,0.25,11,80
773,10,0.25,11,40
774,10,0.25,11,80
775,10,0.25,11,50
776,10,0.25,11,60
777,10,0.25,11,50
778,10,0.25,11,60
779,10,0.25,11,70
780,10,0.25,11,80
781,10,0.25,11,60
782,10,0.25,11,60
783,10,0.25,11,70
784,10,0.25,11,60
785,10,0.25,11,70
786,10,0.25,11,60
787,10,0.25,11,60
788,10,0.25,11,70
789,10,0.25,11,70
790,10,0.25,11,70
791,10,0.25,11,70
792,10,0.25,11,80
793,10,0.25,11,70
794,10,0.25,11,70
795,10,0.25,11,80
796,10,0.25,11,60
797,10,0.25,11,80
798,10,0.25,11,80
799,10,0.25,11,70
800,10,0.25,11,50
801,10,0.25,11,60
802,10,0.25,11,60
803,10,0.25,11,80
804,10,0.25,11,80
805,10,0.25,11,80
806,10,0.25,11,40
807,10,0.25,11,60
808,10,0.25,11,70
809,10,0.25,11,60
810,10,0.25,11,70
811,10,0.25,11,80
812,10,0.25,11,80
813,10,0.25,11,50
814,10,0.25,11,70
815,10,0.25,11,80
816,10,0.25,11,80
817,10,0.25,11,80
818,10,0.25,11,80
819,10,0.25,11,70
820,10,0.25,11,80
821,10,0.25,11,60
822,10,0.25,11,80
823,10,0.25,11,50
824,10,0.25,11,70
825,10,0.25,11,80
826,10,0.25,11,80
827,10,0.25,11,70
828,10,0.25,11,80
829,10,0.25,11,70
830,10,0.25,11,80
831,10,0.25,11,70
832,10,0.25,11,70
833,10,0.25,11,60
834,10,0.25,11,80
835,10,0.25,11,70
836,10,0.25,11,80
837,10,0.25,11,40
838,10,0.25,11,70
839,10,0.25,11,80
840,10,0.25,11,50
841,10,0.25,11,60
842,10,0.25,11,60
843,10,0.25,11,80
844,10,0.25,11,80
845,10,0.25,11,70
846,10,0.25,11,60
847,10,0.25,11,70
848,10,0.25,11,80
849,10,0.25,11,70
850,10,0.25,11,70
851,10,0.25,11,80
852,10,0.25,11,30
853,10,0.25,11,40
854,10,0.25,11,80
855,10,0.25,11,70
856,10,0.25,11,70
857,10,0.25,11,40
858,10,0.25,11,80
859,10,0.25,11,80
860,10,0.25,11,80
861,10,0.25,11,40
862,10,0.25,11,80
863,10,0.25,11,60
864,10,0.25,11,80
865,10,0.25,11,70
866,10,0.25,11,60
867,10,0.25,11,70
