,T,lambda,gamma,strategy
790,10,0.25,,coop
791,10,0.25,,coop
792,10,0.25,,coop
793,10,0.25,,coop
794,10,0.25,,coop
795,10,0.25,,coop
796,10,0.25,,coop
797,10,0.25,,coop
798,10,0.25,,coop
799,10,0.25,,coop
800,10,0.25,,coop
801,10,0.25,,defect
802,10,0.25,,coop
803,10,0.25,,coop
804,10,0.25,,coop
805,10,0.25,,coop
806,10,0.25,,coop
807,10,0.25,,coop
808,10,0.25,,coop
809,10,0.25,,coop
810,10,0.25,,coop
811,10,0.25,,coop
812,10,0.25,,coop
813,10,0.25,,coop
814,10,0.25,,coop
815,10,0.25,,coop
816,10,0.25,,coop
817,10,0.25,,coop
818,10,0.25,,coop
819,10,0.25,,coop
820,10,0.25,,defect
821,10,0.25,,coop
822,10,0.25,,coop
823,10,0.25,,coop
824,10,0.25,,coop
825,10,0.25,,coop
826,10,0.25,,coop
827,10,0.25,,coop
828,10,0.25,,coop
829,10,0.25,,coop
830,10,0.25,,coop
831,10,0.25,,coop
832,10,0.25,,coop
833,10,0.25,,coop
834,10,0.25,,coop
835,10,0.25,,coop
836,10,0.25,,coop
837,10,0.25,,coop
838,10,0.25,,coop
839,10,0.25,,coop
840,10,0.25,,coop
841,10,0.25,,coop
842,10,0.25,,coop
843,10,0.25,,coop
844,10,0.25,,coop
845,10,0.25,,coop
846,10,0.25,,coop
847,10,0.25,,coop
848,10,0.25,,coop
849,10,0.25,,coop
850,10,0.25,,coop
851,10,0.25,,coop
852,10,0.25,,coop
853,10,0.25,,coop
854,10,0.25,,coop
855,10,0.25,,coop
856,10,0.25,,coop
857,10,0.25,,coop
858,10,0.25,,coop
859,10,0.25,,coop
860,10,0.25,,coop
861,10,0.25,,coop
862,10,0.25,,coop
863,10,0.25,,coop
864,10,0.25,,coop
865,10,0.25,,coop
866,10,0.25,,coop
867,10,0.25,,coop
868,10,0.25,,coop
869,10,0.25,,coop
870,10,0.25,,coop
871,10,0.25,,coop
872,10,0.25,,coop
873,10,0.25,,coop
874,10,0.25,,coop
875,10,0.25,,coop
876,10,0.25,,coop
877,10,0.25,,coop
878,10,0.25,,coop
879,10,0.25,,coop
880,10,0.25,,coop
881,10,0.25,,coop
882,10,0.25,,coop
883,10,0.25,,coop
884,10,0.25,,coop
885,10,0.25,,coop
886,10,0.25,,coop
887,10,0.25,,coop
888,10,0.25,,coop
889,10,0.25,,coop
890,10,0.25,,coop
891,10,0.25,,coop
892,10,0.25,,coop
893,10,0.25,,coop
894,10,0.25,,coop
895,10,0.25,,coop
896,10,0.25,,coop
897,10,0.25,,coop
898,10,0.25,,coop
899,10,0.25,,coop
900,10,0.25,,coop
901,10,0.25,,coop
902,10,0.25,,coop
903,10,0.25,,coop
904,10,0.25,,coop
905,10,0.25,,coop
906,10,0.25,,coop
907,10,0.25,,coop
908,10,0.25,,coop
909,10,0.25,,coop
910,10,0.25,,coop
911,10,0.25,,coop
912,10,0.25,,coop
913,10,0.25,,coop
914,10,0.25,,coop
915,10,0.25,,coop
916,10,0.25,,coop
917,10,0.25,,defect
918,10,0.25,,coop
919,10,0.25,,coop
920,10,0.25,,coop
921,10,0.25,,coop
922,10,0.25,,coop
923,10,0.25,,coop
924,10,0.25,,coop
925,10,0.25,,coop
926,10,0.25,,coop
927,10,0.25,,coop
928,10,0.25,,coop
929,10,0.25,,coop
930,10,0.25,,coop
931,10,0.25,,coop
